acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.257,T.I.N.T.,Efya,0.547,207244,0.763,0.0,11,0.118,-5.247,1,Afrobeats 2012,18.0,0.0459,95.186,4,1EtCx9MIr69aUKFw57HwpV,Best In Me,0.718
0.0679,"Game of Hope and Inspiration, Vol. 1",Various Artists,0.711,239778,0.786,0.0749,9,0.28,-4.886,1,Afrobeats 2012,4.0,0.33,123.943,4,6Yo4QN0OlI0B61wE41InfV,Vera,0.922
0.677,"DJ Collins Africa Essential Anthems, Vol 2.",Various Artists,0.652,217700,0.725,0.0,9,0.164,-3.486,0,Afrobeats 2012,0.0,0.169,102.879,4,0UVs3IN9e7K3kH1hbZLAiH,Yori Yori,0.955
0.129,Singles Collection,Ruff-N-Smooth,0.823,274939,0.881,1.91e-05,7,0.105,-3.497,0,Afrobeats 2012,31.0,0.0529,112.011,4,3WrIQBhr1HaE6QwfMVgtzu,Dance for Me,0.938
0.465,Solid Ground,Asem,0.812,305763,0.811,0.0,11,0.163,-3.866,1,Afrobeats 2012,20.0,0.115,112.995,4,0cqStpyp4fqgMweeuDuyg3,Bye Bye,0.757
0.149,Upgrade,Timaya,0.843,216920,0.892,0.00448,4,0.151,-0.892,0,Afrobeats 2012,0.0,0.0555,126.053,4,192pBVlu4W5PG9Q0rpEL5c,Sexy Ladies,0.964
0.258,KaakitUp,Kaakie,0.834,244706,0.816,0.0,1,0.08,-2.882,0,Afrobeats 2012,16.0,0.159,102.027,4,11QytagKXednVSeMGXyCKA,#Tpt (Toffee Pun Tongue),0.597
0.738,Go Go Wind,Eazzy,0.797,214206,0.881,0.0,5,0.212,-2.896,0,Afrobeats 2012,1.0,0.195,107.014,4,3U3dLvVCY63nastPIoOpD0,Go Go Wind,0.919
0.441,KaakitUp,Kaakie,0.823,230769,0.651,0.0,0,0.059,-4.307,1,Afrobeats 2012,8.0,0.272,104.211,4,1L6C6yQTNzxb8e80TaYVvn,DC Turn Up,0.876
0.042,Ghana Old School HipLife Essentials,Various Artists,0.946,304222,0.77,0.0621,0,0.0765,-7.724,1,Afrobeats 2012,16.0,0.157,115.066,4,3PeIqo6ofIXXey8FmE8QjR,Sikilitele,0.764
